Formuláø DN,Polo¾ka,Popis,Bli¾¹í definice
,6,pøecházení ,tìsnì pøed nebo za vozidlem parkujícím
,7,"chùze,",stání na chodníku
,8,chùze,po správné stranì
,9,chùze ,po nesprávné stranì
,10,pøecházení ,mimo pøechod (20 a více metrù od pøechodu)
,0,jiná situace,
33,p33,NÁSLEDKY NA ®IVOTECH A ZDRAVÍ CHODCÙ,
,p33c,pohlaví osoby,
,1,mu¾,
,2,¾ena,
,3,chlapec (do 15 let),
,4,dívka (do 15 let),
,p33d,rok narození chodce (poslední dvojèíslí roku),
,p33e,státní pøíslu¹nost (stát),
,p33f,poskytnutí první pomoci,
,1,nebylo tøeba poskytnout,
,2,poskytnuta osádkou vozidel zúèastnìných na nehodì,
,3,jinou osobou,
,4,leteckou záchrannou slu¾bou,
,5,vozidlem RZP,
,6,"neybyla poskytnuta, ale bylo nutno poskytnout",
,p33g,následky,
,1,usmrcení,
,2,tì¾ké zranìní,
,3,lehké zranìní,
,4,bez zranìní,
34,p34,POÈET ZÚÈASTNÌNÝCH VOZIDEL,
35,p35,MÍSTO DOPRAVNÍ NEHODY,
,00,mimo køi¾ovatku,
,10,na k¾i¾ovatce,"jedná-li se o køí¾ení místních komunikací, úèelových komunikací nebo jde o mezilehlou køi¾ovatku (na sledovaném úseku ve sledovaných mìstech)"
,11-18,uvnitø zóny 1-8 pøedmìtné køi¾ovatky,
,19,na køi¾ovatce,uvnitø hranic køi¾ovatky definovaných pro systém evidence nehod (zóna 9)
,22-28,na vjezdové nebo výjezdové èásti vìtve pøi mimoúrovòovém køí¾ení,
,29,mimo zónu 11-19 a 22-28,
36,p36,DRUH POZEMNÍ KOMUNIKACE,
,0,dálnice,
,1,silnice 1. tøídy,
,2,silnice 2. tøídy,
,3,silnice 3. tøídy,
,4,uzel ,tj. køi¾ovatka sledovaná ve vybraných mìstech
,5,komunikace sledovaná ,(ve vybraných mìstech)
,6,komunikace místní,
,7,komunikace úèelová,polní a lesní cesty atd. 
,8,komunikace úèelová,"ostatní (parkovi¹tì, odpoèívky apod.)"
37,p37,ÈÍSLO POZEMNÍ KOMUNIKACE,
,,"vyplòuje se zleva a pouze jedná-li se o dálnici, silnici 1. - 3. tøídy",
,,dálnice,èísla 01 a¾ 99
,,silnice 1. tøídy,èísla 01 a¾ 99
,,silnice 2. tøídy,èísla 101 a¾ 999
,,silnice 3. tøídy,4 - 6místná
39,p39,DRUH KØI®UJÍCÍ KOMUNIKACE,
,1,silnice 1. tøídy,
,2,silnice 2. tøídy,
,3,silnice 3. tøídy,
,6,místní komunikace,
,7,úèelová komunikace,
,9,vìtev mimoúrovòové køi¾ovatky,
44,p44,DRUH VOZIDLA,
,00,moped,
,1,malý motocykl (do 50 ccm),
,2,"motocykl (vèetnì sidecarù, skútrù apod.)",
,3,osobní automobil bez pøívìsu,
,4,osobní automobil s pøívìsem,
,5,"nákladní automobil (vèetnì multikáry, autojeøábu, cisterny atd.)",
,6,nákladní automobil s pøívìsem,
,7,nákladní automobil s návìsem,
,8,autobus,
,9,traktor (i s pøívìsem),
,10,tramvaj  ,
,11,trolejbus,
,12,jiné motorové vozidlo ,"(zemìdìlské, lesní, stavební stroje atd.)"
,13,jízdní kolo,
,14,"povoz, jízda na koni",
,15,jiné nemotorové vozidlo,
,16,vlak,
,17,"nezji¹tìno, øidiè ujel",
,18,jiný druh vozidla,
45a,p45a,VÝROBNÍ ZNAÈKA MOTOROVÉHO VOZIDLA,
,1,ALFA-ROMEO,"osobní automobily
nákladní automobily"
,2,AUDI,
,3,AVIA,
,4,BMW,
,5,CHEVROLET,
,6,CHRYSLER,
,7,CITROEN,
,8,DACIA,
,9,DAEWOO,
,10,DAF,
,11,DODGE,
,12,FIAT ,
,13,FORD,
,14,"GAZ, VOLHA",
,15,FERRARI,
,16,HONDA,
,17,HYUNDAI,
,18,IFA,
,19,IVECO,
,20,JAGUAR,
,21,JEEP,
,22,LANCIA,
,23,LAND ROVER,
,24,LIAZ,
,25,MAZDA,
,26,MERCEDES,
,27,MITSUBISHI,
,28,MOSKVIÈ,
,29,NISSAN,
,30,OLTCIT,
,31,OPEL,
,32,PEUGEOT,
,33,PORSCHE,
,34,PRAGA,
,35,RENAULT,
,36,ROVER,
,37,SAAB,
,38,SEAT,
,39,©KODA,
,40,SCANIA,
,41,SUBARU,
,42,SUZUKI,
,43,TATRA,
,44,TOYOTA,
,45,TRABANT,
,46,VAZ,
,47,VOLKSWAGEN,
,48,VOLVO,
,49,WARTBURG,
,50,ZASTAVA,
,51,AGM,
,52,ARO,
