user_hash,lesson,category,answer
d7b9214f8056e3ec67c7998da4b6300de8561bf1550e62193795e6e9b060e1bc,semestralka,learn,D
b918d77b47f55242fe7a9e2d7ec18a44d667d4f351f47ffa10f148f5487970a5,cython,learn,A
46846bd2239d6e13069ee399de58da19d944cac90849e19ff60060977476e674,async,like,D
616b35bd96528452ed0159c628804bc395ff7f7fd686ffb71893c78d7e18bdf3,docs,learn,
616b35bd96528452ed0159c628804bc395ff7f7fd686ffb71893c78d7e18bdf3,requests-click,topic,C
0060ce768f28deae17c58d3ca678230e1791e1bf93b9d2eca9e9d16105ead1a1,pyqt,learn,A
cae1229bab7c9e864abfd0d967dd71ee3cdd108166304a885d0c0dbc2b2ceb16,docs,like,D
374d8d96a454e052d8806fe0bd3b0812e820ba872ac505b207e1b8bc738fe81c,magic,learn,
616b35bd96528452ed0159c628804bc395ff7f7fd686ffb71893c78d7e18bdf3,async,learn,B
1f8c534185ed091b749de6ad89e81ecf7ac56b6b6892d7d4801c07c34023924d,geopython,topic,C
46846bd2239d6e13069ee399de58da19d944cac90849e19ff60060977476e674,cython,learn,B
be2057631467069632ed3595431f0410841b78f22af89b202f8c4e2345e2fc75,pandas,like,A
b918d77b47f55242fe7a9e2d7ec18a44d667d4f351f47ffa10f148f5487970a5,geopython,topic,
28ae73efa07fbf12b5811db3d9ff126f8bb721ceb472508510712ed767963515,distribution,learn,B
cae1229bab7c9e864abfd0d967dd71ee3cdd108166304a885d0c0dbc2b2ceb16,distribution,learn,A
be2057631467069632ed3595431f0410841b78f22af89b202f8c4e2345e2fc75,cython,topic,A
616b35bd96528452ed0159c628804bc395ff7f7fd686ffb71893c78d7e18bdf3,micropython,learn,
201ecf8055e07dfa6a28fdf14fca64f572fd0653365d91c371c0f1aa252d8e61,geopython,like,
616b35bd96528452ed0159c628804bc395ff7f7fd686ffb71893c78d7e18bdf3,pyqt,learn,
cae1229bab7c9e864abfd0d967dd71ee3cdd108166304a885d0c0dbc2b2ceb16,semestralka,topic,F
538a526f34eb208efc872e2f175d29ab6d53d1edb18992eed005502e8df17633,pandas,like,D
cae1229bab7c9e864abfd0d967dd71ee3cdd108166304a885d0c0dbc2b2ceb16,testing,topic,D
be2057631467069632ed3595431f0410841b78f22af89b202f8c4e2345e2fc75,geopython,learn,B
b918d77b47f55242fe7a9e2d7ec18a44d667d4f351f47ffa10f148f5487970a5,semestralka,like,A
374d8d96a454e052d8806fe0bd3b0812e820ba872ac505b207e1b8bc738fe81c,async,topic,
538a526f34eb208efc872e2f175d29ab6d53d1edb18992eed005502e8df17633,micropython,learn,A
28ae73efa07fbf12b5811db3d9ff126f8bb721ceb472508510712ed767963515,flask,learn,A
201ecf8055e07dfa6a28fdf14fca64f572fd0653365d91c371c0f1aa252d8e61,pyqt,topic,D
cae1229bab7c9e864abfd0d967dd71ee3cdd108166304a885d0c0dbc2b2ceb16,micropython,topic,
28ae73efa07fbf12b5811db3d9ff126f8bb721ceb472508510712ed767963515,geopython,like,
616b35bd96528452ed0159c628804bc395ff7f7fd686ffb71893c78d7e18bdf3,async,like,B
46846bd2239d6e13069ee399de58da19d944cac90849e19ff60060977476e674,semestralka,topic,C
616b35bd96528452ed0159c628804bc395ff7f7fd686ffb71893c78d7e18bdf3,magic,learn,F
616b35bd96528452ed0159c628804bc395ff7f7fd686ffb71893c78d7e18bdf3,semestralka,like,A
be2057631467069632ed3595431f0410841b78f22af89b202f8c4e2345e2fc75,docs,topic,A
0060ce768f28deae17c58d3ca678230e1791e1bf93b9d2eca9e9d16105ead1a1,distribution,learn,A
374d8d96a454e052d8806fe0bd3b0812e820ba872ac505b207e1b8bc738fe81c,docs,learn,
28ae73efa07fbf12b5811db3d9ff126f8bb721ceb472508510712ed767963515,numpy,like,D
46846bd2239d6e13069ee399de58da19d944cac90849e19ff60060977476e674,testing,learn,B
616b35bd96528452ed0159c628804bc395ff7f7fd686ffb71893c78d7e18bdf3,geopython,topic,D
d7b9214f8056e3ec67c7998da4b6300de8561bf1550e62193795e6e9b060e1bc,distribution,learn,C
201ecf8055e07dfa6a28fdf14fca64f572fd0653365d91c371c0f1aa252d8e61,geopython,topic,
538a526f34eb208efc872e2f175d29ab6d53d1edb18992eed005502e8df17633,cython,like,C
28ae73efa07fbf12b5811db3d9ff126f8bb721ceb472508510712ed767963515,micropython,topic,
be2057631467069632ed3595431f0410841b78f22af89b202f8c4e2345e2fc75,magic,topic,A
374d8d96a454e052d8806fe0bd3b0812e820ba872ac505b207e1b8bc738fe81c,docs,like,
b918d77b47f55242fe7a9e2d7ec18a44d667d4f351f47ffa10f148f5487970a5,requests-click,learn,A
b918d77b47f55242fe7a9e2d7ec18a44d667d4f351f47ffa10f148f5487970a5,geopython,learn,
374d8d96a454e052d8806fe0bd3b0812e820ba872ac505b207e1b8bc738fe81c,pyqt,topic,
46846bd2239d6e13069ee399de58da19d944cac90849e19ff60060977476e674,requests-click,learn,E
201ecf8055e07dfa6a28fdf14fca64f572fd0653365d91c371c0f1aa252d8e61,requests-click,learn,A
d7b9214f8056e3ec67c7998da4b6300de8561bf1550e62193795e6e9b060e1bc,distribution,topic,A
538a526f34eb208efc872e2f175d29ab6d53d1edb18992eed005502e8df17633,flask,like,A
b918d77b47f55242fe7a9e2d7ec18a44d667d4f351f47ffa10f148f5487970a5,pyqt,like,A
28ae73efa07fbf12b5811db3d9ff126f8bb721ceb472508510712ed767963515,distribution,like,D
cae1229bab7c9e864abfd0d967dd71ee3cdd108166304a885d0c0dbc2b2ceb16,pandas,topic,B
201ecf8055e07dfa6a28fdf14fca64f572fd0653365d91c371c0f1aa252d8e61,testing,learn,A
be2057631467069632ed3595431f0410841b78f22af89b202f8c4e2345e2fc75,distribution,learn,A
d7b9214f8056e3ec67c7998da4b6300de8561bf1550e62193795e6e9b060e1bc,numpy,like,B
538a526f34eb208efc872e2f175d29ab6d53d1edb18992eed005502e8df17633,testing,like,D
538a526f34eb208efc872e2f175d29ab6d53d1edb18992eed005502e8df17633,async,like,B
538a526f34eb208efc872e2f175d29ab6d53d1edb18992eed005502e8df17633,flask,topic,A
201ecf8055e07dfa6a28fdf14fca64f572fd0653365d91c371c0f1aa252d8e61,pandas,learn,E
be2057631467069632ed3595431f0410841b78f22af89b202f8c4e2345e2fc75,testing,learn,A
b918d77b47f55242fe7a9e2d7ec18a44d667d4f351f47ffa10f148f5487970a5,async,learn,
46846bd2239d6e13069ee399de58da19d944cac90849e19ff60060977476e674,magic,topic,C
46846bd2239d6e13069ee399de58da19d944cac90849e19ff60060977476e674,distribution,learn,A
cae1229bab7c9e864abfd0d967dd71ee3cdd108166304a885d0c0dbc2b2ceb16,distribution,like,A
28ae73efa07fbf12b5811db3d9ff126f8bb721ceb472508510712ed767963515,micropython,learn,
be2057631467069632ed3595431f0410841b78f22af89b202f8c4e2345e2fc75,semestralka,like,A
cae1229bab7c9e864abfd0d967dd71ee3cdd108166304a885d0c0dbc2b2ceb16,testing,like,F
1f8c534185ed091b749de6ad89e81ecf7ac56b6b6892d7d4801c07c34023924d,flask,topic,C
616b35bd96528452ed0159c628804bc395ff7f7fd686ffb71893c78d7e18bdf3,geopython,learn,A
46846bd2239d6e13069ee399de58da19d944cac90849e19ff60060977476e674,micropython,like,A
0060ce768f28deae17c58d3ca678230e1791e1bf93b9d2eca9e9d16105ead1a1,async,like,B
46846bd2239d6e13069ee399de58da19d944cac90849e19ff60060977476e674,semestralka,like,C
be2057631467069632ed3595431f0410841b78f22af89b202f8c4e2345e2fc75,magic,learn,A
0060ce768f28deae17c58d3ca678230e1791e1bf93b9d2eca9e9d16105ead1a1,pandas,learn,B
28ae73efa07fbf12b5811db3d9ff126f8bb721ceb472508510712ed767963515,docs,like,B
b918d77b47f55242fe7a9e2d7ec18a44d667d4f351f47ffa10f148f5487970a5,micropython,learn,
616b35bd96528452ed0159c628804bc395ff7f7fd686ffb71893c78d7e18bdf3,docs,like,
be2057631467069632ed3595431f0410841b78f22af89b202f8c4e2345e2fc75,pyqt,topic,A
d7b9214f8056e3ec67c7998da4b6300de8561bf1550e62193795e6e9b060e1bc,semestralka,topic,C
1f8c534185ed091b749de6ad89e81ecf7ac56b6b6892d7d4801c07c34023924d,geopython,learn,B
201ecf8055e07dfa6a28fdf14fca64f572fd0653365d91c371c0f1aa252d8e61,cython,learn,A
616b35bd96528452ed0159c628804bc395ff7f7fd686ffb71893c78d7e18bdf3,flask,topic,D
201ecf8055e07dfa6a28fdf14fca64f572fd0653365d91c371c0f1aa252d8e61,pandas,like,D
28ae73efa07fbf12b5811db3d9ff126f8bb721ceb472508510712ed767963515,semestralka,like,C
b918d77b47f55242fe7a9e2d7ec18a44d667d4f351f47ffa10f148f5487970a5,numpy,learn,D
28ae73efa07fbf12b5811db3d9ff126f8bb721ceb472508510712ed767963515,geopython,topic,
374d8d96a454e052d8806fe0bd3b0812e820ba872ac505b207e1b8bc738fe81c,testing,topic,
b918d77b47f55242fe7a9e2d7ec18a44d667d4f351f47ffa10f148f5487970a5,micropython,like,
cae1229bab7c9e864abfd0d967dd71ee3cdd108166304a885d0c0dbc2b2ceb16,magic,like,
28ae73efa07fbf12b5811db3d9ff126f8bb721ceb472508510712ed767963515,numpy,topic,D
b918d77b47f55242fe7a9e2d7ec18a44d667d4f351f47ffa10f148f5487970a5,flask,topic,A
cae1229bab7c9e864abfd0d967dd71ee3cdd108166304a885d0c0dbc2b2ceb16,numpy,topic,B
538a526f34eb208efc872e2f175d29ab6d53d1edb18992eed005502e8df17633,docs,like,A
616b35bd96528452ed0159c628804bc395ff7f7fd686ffb71893c78d7e18bdf3,distribution,topic,A
201ecf8055e07dfa6a28fdf14fca64f572fd0653365d91c371c0f1aa252d8e61,docs,learn,B
201ecf8055e07dfa6a28fdf14fca64f572fd0653365d91c371c0f1aa252d8e61,magic,topic,D
538a526f34eb208efc872e2f175d29ab6d53d1edb18992eed005502e8df17633,docs,topic,A
538a526f34eb208efc872e2f175d29ab6d53d1edb18992eed005502e8df17633,pandas,learn,A
d7b9214f8056e3ec67c7998da4b6300de8561bf1550e62193795e6e9b060e1bc,pyqt,topic,C
